Rank,State,State_Code,Region,Average_AQI,Max_AQI,Observation_Count,AQI_Category,Start_Date,End_Date,Average_PM2.5,Average_PM10,Average_NO2,Average_SO2,Average_CO,Average_O3
1,California,CA,West,113.17,121,12,Unhealthy for Sensitive Groups,2024-01-15,2024-12-15,32.49,47.53,21.27,9.45,1.37,28.5
2,Texas,TX,South,95.17,103,12,Moderate,2024-01-15,2024-12-15,27.45,42.17,18.03,7.61,1.16,24.18
3,Arizona,AZ,West,93.17,101,12,Moderate,2024-01-15,2024-12-15,26.89,41.33,17.67,8.25,1.13,23.7
4,Louisiana,LA,South,88.17,96,12,Moderate,2024-01-15,2024-12-15,25.49,38.13,16.77,7.85,1.07,22.5
5,Nevada,NV,West,85.17,93,12,Moderate,2024-01-15,2024-12-15,24.65,39.07,16.23,6.81,1.04,21.78
6,Illinois,IL,Midwest,84.17,92,12,Moderate,2024-01-15,2024-12-15,24.37,35.35,16.05,6.73,1.03,21.54
7,Georgia,GA,South,83.17,91,12,Moderate,2024-01-15,2024-12-15,24.09,36.03,15.87,6.65,1.01,21.3
8,Missouri,MO,Midwest,82.17,90,12,Moderate,2024-01-15,2024-12-15,23.81,34.51,15.69,6.57,1.0,21.06
9,Oklahoma,OK,South,80.17,88,12,Moderate,2024-01-15,2024-12-15,23.25,36.97,15.33,7.21,0.98,20.58
10,Indiana,IN,Midwest,80.17,88,12,Moderate,2024-01-15,2024-12-15,23.25,34.77,15.33,6.81,0.98,20.58
11,Ohio,OH,Midwest,79.17,87,12,Moderate,2024-01-15,2024-12-15,22.97,35.45,15.15,6.73,0.96,20.34
12,Mississippi,MS,South,79.17,87,12,Moderate,2024-01-15,2024-12-15,22.97,36.55,15.15,7.13,0.96,20.34
13,New Jersey,NJ,Northeast,76.17,84,12,Moderate,2024-01-15,2024-12-15,22.13,33.09,14.61,6.89,0.93,19.62
14,Kentucky,KY,South,75.17,83,12,Moderate,2024-01-15,2024-12-15,21.85,31.57,14.43,6.41,0.92,19.38
15,Pennsylvania,PA,Northeast,75.17,83,12,Moderate,2024-01-15,2024-12-15,21.85,32.67,14.43,6.41,0.92,19.38
16,Florida,FL,South,74.17,82,12,Moderate,2024-01-15,2024-12-15,21.57,31.15,14.25,6.73,0.9,19.14
17,Alabama,AL,South,73.17,81,12,Moderate,2024-01-15,2024-12-15,21.29,30.73,14.07,5.85,0.89,18.9
18,Tennessee,TN,South,73.17,81,12,Moderate,2024-01-15,2024-12-15,21.29,31.83,14.07,6.65,0.89,18.9
19,Utah,UT,West,72.17,80,12,Moderate,2024-01-15,2024-12-15,21.01,33.61,13.89,6.17,0.88,18.66
20,Michigan,MI,Midwest,71.17,79,12,Moderate,2024-01-15,2024-12-15,20.73,30.99,13.71,5.69,0.87,18.42
21,Arkansas,AR,South,71.17,79,12,Moderate,2024-01-15,2024-12-15,20.73,33.19,13.71,5.69,0.87,18.42
22,North Carolina,NC,South,71.17,79,12,Moderate,2024-01-15,2024-12-15,20.73,29.89,13.71,6.49,0.87,18.42
23,Maryland,MD,South,70.17,78,12,Moderate,2024-01-15,2024-12-15,20.45,32.77,13.53,6.01,0.86,18.18
24,South Carolina,SC,South,69.17,77,12,Moderate,2024-01-15,2024-12-15,20.17,32.35,13.35,5.53,0.85,17.94
25,West Virginia,WV,South,69.17,77,12,Moderate,2024-01-15,2024-12-15,20.17,32.35,13.35,6.33,0.85,17.94
26,New York,NY,Northeast,68.17,76,12,Moderate,2024-01-15,2024-12-15,19.89,31.93,13.17,5.85,0.83,17.7
27,Colorado,CO,West,64.17,72,12,Moderate,2024-01-15,2024-12-15,18.77,28.05,12.45,5.93,0.78,16.74
28,Kansas,KS,Midwest,63.17,71,12,Moderate,2024-01-15,2024-12-15,18.49,29.83,12.27,5.05,0.77,16.5
29,Virginia,VA,South,62.17,70,12,Moderate,2024-01-15,2024-12-15,18.21,27.21,12.09,4.97,0.76,16.26
30,New Mexico,NM,West,59.17,67,12,Moderate,2024-01-15,2024-12-15,17.37,27.05,11.55,4.73,0.72,15.54
31,Wisconsin,WI,Midwest,59.17,67,12,Moderate,2024-01-15,2024-12-15,17.37,24.85,11.55,4.73,0.72,15.54
32,Delaware,DE,South,59.17,67,12,Moderate,2024-01-15,2024-12-15,17.37,28.15,11.55,5.13,0.72,15.54
33,Iowa,IA,Midwest,58.17,66,12,Moderate,2024-01-15,2024-12-15,17.09,26.63,11.37,5.45,0.71,15.3
34,Nebraska,NE,Midwest,56.17,64,12,Moderate,2024-01-15,2024-12-15,16.53,25.79,11.01,5.29,0.69,14.82
35,Connecticut,CT,Northeast,54.17,62,12,Moderate,2024-01-15,2024-12-15,15.97,24.95,10.65,4.33,0.66,14.34
36,Massachusetts,MA,Northeast,52.17,60,12,Moderate,2024-01-15,2024-12-15,15.41,21.91,10.29,4.97,0.64,13.86
37,Minnesota,MN,Midwest,52.17,60,12,Moderate,2024-01-15,2024-12-15,15.41,24.11,10.29,4.57,0.64,13.86
38,Rhode Island,RI,Northeast,52.17,60,12,Moderate,2024-01-15,2024-12-15,15.41,24.11,10.29,4.97,0.64,13.86
39,Idaho,ID,West,49.17,57,12,Good,2024-01-15,2024-12-15,14.57,23.95,9.75,4.73,0.6,13.14
40,Oregon,OR,West,47.17,55,12,Good,2024-01-15,2024-12-15,14.01,19.81,9.39,3.77,0.58,12.66
