State,City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Alabama,Birmingham,2024-01-15,70,20.4,29.4,13.2,5.6,0.87,17.5
Alabama,Birmingham,2024-02-15,68,20.64,28.56,13.44,5.44,0.82,17.72
Alabama,Birmingham,2024-03-15,72,20.16,30.24,14.76,5.76,0.89,19.38
Alabama,Birmingham,2024-04-15,74,21.52,31.08,13.32,5.92,0.89,20.56
Alabama,Birmingham,2024-05-15,76,22.88,31.92,14.28,6.08,0.94,18.24
Alabama,Birmingham,2024-06-15,79,22.12,33.18,15.42,6.32,0.95,19.66
Alabama,Birmingham,2024-07-15,81,23.48,34.02,16.38,6.48,1.0,20.84
Alabama,Birmingham,2024-08-15,78,23.44,32.76,14.04,6.24,0.94,20.82
Alabama,Birmingham,2024-09-15,73,20.44,30.66,13.74,5.84,0.91,20.32
Alabama,Birmingham,2024-10-15,71,20.68,29.82,13.98,5.68,0.85,17.04
Alabama,Birmingham,2024-11-15,69,20.92,28.98,14.22,5.52,0.86,17.26
Alabama,Birmingham,2024-12-15,67,18.76,28.14,12.06,5.36,0.8,17.48
Alaska,Anchorage,2024-01-15,37,11.16,16.64,7.26,3.36,0.47,9.58
Alaska,Anchorage,2024-02-15,35,11.4,15.8,7.5,3.2,0.42,9.8
Alaska,Anchorage,2024-03-15,39,10.92,17.48,8.82,3.52,0.5,11.46
Alaska,Anchorage,2024-04-15,41,12.28,18.32,7.38,3.68,0.49,12.64
Alaska,Anchorage,2024-05-15,43,13.64,19.16,8.34,3.84,0.55,10.32
Alaska,Anchorage,2024-06-15,46,12.88,20.42,9.48,4.08,0.55,11.74
Alaska,Anchorage,2024-07-15,48,14.24,21.26,10.44,4.24,0.61,12.92
Alaska,Anchorage,2024-08-15,45,14.2,20.0,8.1,4.0,0.54,12.9
Alaska,Anchorage,2024-09-15,40,11.2,17.9,7.8,3.6,0.51,12.4
Alaska,Anchorage,2024-10-15,38,11.44,17.06,8.04,3.44,0.46,9.12
Alaska,Anchorage,2024-11-15,36,11.68,16.22,8.28,3.28,0.46,9.34
Alaska,Anchorage,2024-12-15,34,9.52,15.38,6.12,3.12,0.41,9.56
Arizona,Phoenix,2024-01-15,90,26.0,40.0,16.8,8.0,1.11,22.3
Arizona,Phoenix,2024-02-15,88,26.24,39.16,17.04,7.84,1.06,22.52
Arizona,Phoenix,2024-03-15,92,25.76,40.84,18.36,8.16,1.13,24.18
Arizona,Phoenix,2024-04-15,94,27.12,41.68,16.92,8.32,1.13,25.36
Arizona,Phoenix,2024-05-15,96,28.48,42.52,17.88,8.48,1.18,23.04
Arizona,Phoenix,2024-06-15,99,27.72,43.78,19.02,8.72,1.19,24.46
Arizona,Phoenix,2024-07-15,101,29.08,44.62,19.98,8.88,1.24,25.64
