Rank,State,Average_AQI
1,California,113.17
2,Texas,95.17
3,Arizona,93.17
4,Louisiana,88.17
5,Nevada,85.17
6,Illinois,84.17
7,Georgia,83.17
8,Missouri,82.17
9,Oklahoma,80.17
10,Indiana,80.17
11,Ohio,79.17
12,Mississippi,79.17
13,New Jersey,76.17
14,Kentucky,75.17
15,Pennsylvania,75.17
16,Florida,74.17
17,Alabama,73.17
18,Tennessee,73.17
19,Utah,72.17
20,Michigan,71.17
21,Arkansas,71.17
22,North Carolina,71.17
23,Maryland,70.17
24,South Carolina,69.17
25,West Virginia,69.17
26,New York,68.17
27,Colorado,64.17
28,Kansas,63.17
29,Virginia,62.17
30,New Mexico,59.17
31,Wisconsin,59.17
32,Delaware,59.17
33,Iowa,58.17
34,Nebraska,56.17
35,Connecticut,54.17
36,Massachusetts,52.17
37,Minnesota,52.17
38,Rhode Island,52.17
39,Idaho,49.17
40,Oregon,47.17
41,Washington,46.17
42,North Dakota,45.17
43,Montana,44.17
44,South Dakota,43.17
45,New Hampshire,43.17
46,Wyoming,42.17
47,Alaska,40.17
48,Maine,39.17
49,Vermont,37.17
50,Hawaii,34.17
